f1	S_CHAR_CNT
f2	S_MUL
f3	S_DIV
f4	S_INT_DIV
f5	S_PLUS
f6	S_MINUS
f7	S_CONCAT
f8	S_LESS_THAN
f9	S_LESS_EQ
f10	S_GTR_THAN
f11	S_GTR_EQ
f12	S_NOT_EQ
f13	S_ASSIGN
f14	S_EQ
f15	S_COLON
f16	S_LEFT_BRACKET
f17	S_RIGHT_BRACKET
f18	S_COMMA
f19	S_INT
f20	S_DECIMAL
f21	S_DECIMAL_W_EXP
f22	S_IDENTIFIER_KEYWORD
f23	S_STRING

q1	S_ONE_LINE_COMMENT
q2	S_ONE_LINE_COMMENT_CONTENT
q3	S_LEFT_SQUARE_BRACKET
q4	S_BLOCK_COMMENT_CONTENT
q5	S_RIGHT_SQUARE_BRACKET
q6	S_DOT
q7	S_TILDE
q8	S_DECIMAL_POINT
q9	S_EXP
q10	S_EXP_PLUS_MINUS
q11	S_STRING_CONTENT
q12	S_ESC_SEQ_BACKSLASH
q13	S_ESC_SEQ_ZERO
q14	S_ESC_SEQ_DOUBLE_ZERO
q15	S_ESC_SEQ_ONE
q16	S_ESC_SEQ_X_X
q17	S_ESC_SEQ_TWO
q18	S_ESC_SEQ_TWO_FIVE
